file_name,qar_number,question_hi,answer_hi,reasoning_hi,domain,question_type
rbi_1.png,1 of 4,"IMF और विश्व बैंक के अनुसार, 2025 में EMDE (ईएमडीई) वृद्धि दर का अनुमान क्या है, और दोनों के बीच कितना अंतर है?","IMF के अनुसार 4.2%, विश्व बैंक के अनुसार 4.0% है; अंतर 0.2 प्रतिशत अंक है।","2025 के लिए, IMF चार्ट (बाएँ) में EMDE (गुलाबी बार) 4.2% है, वहीं विश्व बैंक चार्ट (दाएँ) में EMDE (नीला बार) 4.0% है, जिससे 0.2% का अंतर दिखता है।",External Sector & FX Dynamics,Numerical Extraction
rbi_1.png,2 of 4,IMF के अनुसार 2023 से 2025 के दौरान वैश्विक वृद्धि दर में क्या प्रवृत्ति दिखाई दे रही है?,2023 से 2024 तक गिरावट और 2024 से 2025 में स्थिरता है।,"IMF चार्ट में 2023 की वैश्विक वृद्धि दर 3.3%, 2024 व 2025 दोनों में 3.2% है। 2023 से 2024 में गिरावट, फिर 2024 से 2025 में कोई उल्लेखनीय परिवर्तन नहीं दिखता।",External Sector & FX Dynamics,Trend Analysis
rbi_1.png,3 of 4,"विश्व बैंक के अनुसार AE (एई) समूह की वृद्धि दर 2023 और 2025 में कितनी है, और इन दोनों वर्षों में क्या परिवर्तन है?","2023 में 1.5%, 2025 में 1.7%; 0.2% वृद्धि देखी गई है।","विश्व बैंक चार्ट में एई (पीला बार) 2023 में 1.5% और 2025 में 1.7% है, जिससे 0.2% की वृद्धि दिखती है।",External Sector & FX Dynamics,Numerical Extraction
rbi_1.png,4 of 4,"IMF और विश्व बैंक दोनों में 2023 के लिए किस श्रेणी (वैश्विक, एई, ईएमडीई) में सबसे बड़ा अंतर है?",वैश्विक में; अंतर 0.7 प्रतिशत अंक है।,"2023 में IMF का वैश्विक अनुमान 3.3% (नीला-हरा), विश्व बैंक का 2.6% (हरा); अंतर 0.7% है। बाकी श्रेणियों (एई, ईएमडीई) का अंतर इससे कम है।",External Sector & FX Dynamics,Comparison
rbi_2.png,1 of 4,"2024 की तीसरी तिमाही में केंद्रीय बैंकों द्वारा की गई नीति दर कटौती (rate cut) की संख्या कितनी है, और इसमें उभरते बाजारों और ईएम (EM) का योगदान कितना है?","कुल कटौती लगभग 14 है, जिसमें अधिकांश योगदान ईएम (नीला भाग) से है।","चार्ट (ए) में तिमि. 3:2024 की पट्टी पूरी तरह नकारात्मक दिशा में है, जिसका कुल मान लगभग -14 दिखता है, और इसमें से अधिकतर भाग नीला (ईएम) रंग है, शेष थोड़ा सा लाल (एई) है।",Monetary Policy Transmission,Numerical Extraction
rbi_2.png,2 of 4,चार्ट (बी) के अनुसार 2022 के बाद उच्चतम मुद्रास्फीति किस देश में देखी गई?,यूरोज़ोन में उच्चतम मुद्रास्फीति देखी गई है।,"चार्ट (B) में, यूरोज़ोन का सबसे ऊँचा शिखर (गुलाबी खोखली बार) लगभग 12% के आसपास है।",External Sector & FX Dynamics,Numerical Extraction
rbi_2.png,3 of 4,"2022 से 2024 तक सेंट्रल बैंक द्वारा पॉलिसी रेट बढ़ाने और घटाने का संतुलन कैसे बदल गया, और मुद्रास्फीति चार्ट  इसके बारे में क्या संकेत देता है?","केंद्रीय बैंक ने 2022–23 में दरें बढ़ाने से 2024 में मुख्य रूप से दरें घटाने की ओर रुख किया है, और मुद्रास्फीति पैनल दर्शाता है कि प्रमुख अर्थव्यवस्थाओं में वर्तमान मुद्रास्फीति 2022 से देखी गई चरम सीमाओं से काफी नीचे है, जो इस आसान नीति की ओर बदलाव के अनुरूप है।","पैनल (a) दिखाता है कि केंद्रीय बैंकों द्वारा दरें बढ़ाने की संख्या 2022–23 में सबसे ज्यादा है, जबकि 2024 में दरें कम करने वाले ज्यादा हो जाते हैं; पैनल (b) दिखाता है कि सभी सूचीबद्ध अर्थव्यवस्थाओं के लिए, मौजूदा महंगाई के स्तर '2022 के बाद सबसे ज्यादा' के निशान से नीचे हैं, जो महंगाई कम हो रही है और दरें घटाने की वजह को समझाने में मदद करता है।",External Sector & FX Dynamics,Comparison
rbi_2.png,4 of 4,"भारत में हेडलाइन मुद्रास्फीति का वर्तमान स्तर और लक्ष्य स्तर क्या हैं, और क्या वर्तमान स्तर लक्ष्य से ऊपर है?","वर्तमान स्तर लगभग 5.5% है, लक्ष्य स्तर लगभग 4% है; वर्तमान स्तर लक्ष्य से ऊपर है।","चार्ट (बी) में भारत के लिए भरा हुआ पिंक बार (वर्तमान स्तर) लगभग 5.5% है, जबकि काला डॉट (लक्ष्य) 4% के करीब है। इसलिए वर्तमान स्तर लक्ष्य से ऊपर है।",Equity Markets,Numerical Extraction
rbi_3.png,1 of 3,मार्च 2015 और सितम्बर 2024 के बीच सकल एनपीए (प्रतिशत) में क्या प्रवृत्ति दिखाई देती है?,"मार्च 2015 और मार्च 2017 के बीच, सकल एनपीए अनुपात 4.6% से बढ़कर 9.6% हो गया, जिसके बाद यह लगातार घटकर सितंबर 2024 तक लगभग 2.6% पर आ गया।","चार्ट दिखाता है कि सकल एनपीए की लाइन मार्च 2015 से मार्च 2017 तक बढ़ी और फिर लगातार 2024 तक घटती रही, यानी शुरू में नॉन-परफॉर्मिंग एसेट्स बढ़े और उसके बाद धीरे-धीरे कम होते गए।",Banking & Credit,Trend Analysis
rbi_3.png,2 of 3,मार्च 2015 और सितम्बर 2024 के बीच किस वर्ष में पीसीआर (Provision Coverage Ratio) का मान सबसे अधिक था?,सितम्बर 2024 में पीसीआर (Provision Coverage Ratio) 77.0% के साथ सबसे अधिक रहा।,चार्ट में पीसीआर मान मार्च 2015 से लगातार बढ़ता दिख रहा है और सितम्बर 2024 में यह अपने उच्चतम स्तर 77.0% पर पहुँच जाता है।,Banking & Credit,Extremum / Anomaly Detection
rbi_3.png,3 of 3,मार्च 2023 से सितम्बर 2024 के बीच एलसीआर (Liquidity Coverage Ratio) में क्या बदलाव हुआ?,"मार्च 2023 में एलसीआर 143.1 था, जो सितम्बर 2024 तक घटकर 128.5 हो गया।","चार्ट के अनुसार, एलसीआर मान मार्च 2023 (143.1) से घटकर मार्च 2024 (130.1) हुआ, और फिर सितम्बर 2024 में 128.5 रह गया। यह स्पष्ट रूप से नीचे की ओर रुझान दर्शाता है।",Systemic Risk & Liquidity,Trend Analysis
rbi_4.png,1 of 3,"2026 में वैश्विक वित्तीय स्थितियों का विकास दर पर प्रभाव कितना है, और क्या यह अन्य जोखिमों से अधिक है?",लगभग -1.2 प्रतिशत; यह अन्य सभी जोखिमों के मुकाबले सबसे अधिक नकारात्मक है।,"2026 में ब्लू लाइन (वैश्विक वित्तीय स्थिति) का न्यूनतम बिंदु लगभग -1.2% तक जाता है, जो चार्ट की अन्य सभी लाइनों से नीचे है।",Systemic Risk & Liquidity,Numerical Extraction
rbi_4.png,2 of 3,2030 तक कौन सा जोखिम सबसे कम नकारात्मक प्रभाव दिखा रहा है?,टैरिफ जोखिम; लगभग -0.2 प्रतिशत।,"चार्ट में 2030 में ऑरेंज लाइन (टैरिफ) सबसे ऊपर है, और इसका प्रभाव लगभग -0.2% है, अन्य सभी से कम नकारात्मक।",Systemic Risk & Liquidity,Comparison
rbi_4.png,3 of 3,2024 से 2026 के दौरान किस जोखिम श्रेणी में गिरावट की गति सबसे तेज है?,वैश्विक वित्त स्थितियां; -1.2% तक सबसे तेजी से गिरती है।,"चार्ट में ब्लू लाइन 2024 के बाद सबसे नीचे जाती है, 2026 तक -1.2% तक पहुँचती है, सबसे तेज गिरावट दिखाती है।",Systemic Risk & Liquidity,Trend Analysis
rbi_6.png,1 of 3,चार्ट के अनुसार वित्त वर्ष 2019-20 के दौरान 'भूराजनीतिक जोखिम के बिना वित्तीय अश्थिरता' के मान में क्या विशेष बदलाव आता है?,वित्त वर्ष 2019-20 के दौरान 'भूराजनीतिक जोखिम के बिना वित्तीय अश्थिरता' में तीव्र बढ़ोतरी देखी जाती है।,"चार्ट की लाल रेखा (भूराजनीतिक जोखिम के बिना) अक्टूबर 2019 से अगस्त 2021 तक अचानक बढ़ती है, जहां यह अपने उच्चतम बिंदु पर पहुँचती है, जो स्पष्ट रूप से उस अवधि के दौरान अस्थिरता में एक उल्लेखनीय वृद्धि को दर्शाती है।",Equity Markets,Trend Analysis
rbi_6.png,2 of 3,क्या आर्थिक अनिश्चितता के बिना और भूराजनीतिक जोखिम के बिना वित्तीय अश्थिरता के ट्रेंड वर्ष 2019 से 2022 के बीच एक जैसे हैं या भिन्न हैं?,दोनों ट्रेंड वर्ष 2019 से 2022 के बीच अक्सर भिन्न हैं।,"नीली और लाल लाइनों में 2019-2022 के बीच काफी अलग रुझान हैं। उदाहरण के लिए, 2020-21 में, लाल लाइन तेजी से गिरती है जबकि नीली लाइन लगातार बढ़ती रहती है।",Equity Markets,Comparison
rbi_6.png,3 of 3,"अक्टूबर 2024 में दोनों सूचकों (नीली और लाल रेखा) का क्या स्तर है, और इनमें कौन सा नीचे है?","अक्टूबर 2024 में दोनों रेखाएं शून्य से नीचे हैं, और लाल रेखा (भूराजनीतिक जोखिम के बिना) नीली (अर्थशास्त्र अनिश्चितता के बिना) से अधिक निचले स्तर पर है।","चार्ट देख कर स्पष्ट है कि दोनों रेखाएं अक्टूबर 2024 में नकारात्मक क्षेत्र में जाती हैं, लेकिन लाल रेखा सबसे अधिक नीचे है (-1.5)।",Equity Markets,Comparison
rbi_7.png,1 of 4,सार्वजनिक ऋण-से-जीडीपी अनुपात के अनुसार 2022 के बाद वैश्विक औसत में किस प्रकार का परिवर्तन आया है?,2022 के बाद वैश्विक औसत में निरंतर वृद्धि रही है।,चार्ट (ए) में पीली लाइन (वैश्विक औसत) 2022 के बाद लगातार 2029 तक बढ़ती हुई ऊपर जाती दिखाई देती है।,External Sector & FX Dynamics,Trend Analysis
rbi_7.png,2 of 4,यूनाइटेड स्टेट्स का अनुमानित सार्वजनिक ऋण-से-जीडीपी अनुपात 2029 में वैश्विक औसत की तुलना में कितना अधिक है?,लगभग 40 प्रतिशत अंक अधिक।,"2029 में, नीली डैश लाइन (यूनाइटेड स्टेट्स) लगभग 140% दिखती है, जबकि वैश्विक औसत (पीली लाइन) लगभग 100% के आसपास है।",External Sector & FX Dynamics,Comparison
rbi_7.png,3 of 4,"क्या उन देशों के लिए सार्वजनिक ऋण के पूर्वानुमान त्रुटियों का औसत नीचे है जहाँ ऋण घटने का अनुमान है, या सभी देशों के लिए?",यह सभी देशों के लिए कम है,"चार्ट (B) में, बाएँ बॉक्स प्लॉट (सभी देश) का माध्य (नीला बिंदु) दाएँ बॉक्स माध्य (या घटती हुई ऋण वाली देशों) की तुलना में कम है।",External Sector & FX Dynamics,Comparison
rbi_7.png,4 of 4,चार्ट यह क्या संकेत देता है कि वैश्विक सार्वजनिक ऋण-से-जीडीपी अनुपात में 2024 के बाद की अनुमानित वृद्धि का आकलन करते समय सार्वजनिक ऋण की प्रक्षिप्तियाँ कितनी विश्वसनीय हैं?,"यह संकेत देता है कि, हालांकि वैश्विक और अमेरिकी सार्वजनिक ऋण‑से‑जीडीपी अनुपात 2024 के बाद बढ़ने की संभावना है, पिछले तीन साल आगे की पूर्वानुमान में काफी गलतियाँ रही हैं, इसलिए इन बढ़ौतियों को सावधानीपूर्वक देखना चाहिए।","आंकड़ा (a) 2024 के बाद वैश्विक औसत और अमेरिका के ऋण-से-जीडीपी अनुपात में वृद्धि दर्शाता है, जबकि आंकड़ा (b) सभी देशों और उन देशों के लिए जिनके ऋण में गिरावट का अनुमान है, पूर्वानुमान त्रुटियों की विस्तृत अंतर-चतुर्थक सीमाएं दर्शाता है, जिससे पता चलता है कि वास्तविक परिणाम अक्सर पूर्वानुमानों से काफी अलग होते हैं।",External Sector & FX Dynamics,Cross-Chart Reasoning
rbi_9.png,1 of 4,2022 में कुल सरकारी ऋण में विदेशी मुद्रा मूल्यवर्ग वाले ऋण का प्रतिशत कितना था?,2022 में कुल सरकारी ऋण में विदेशी मुद्रा मूल्यवर्ग वाले ऋण का प्रतिशत लगभग 51.5% था।,चार्ट 1.9 (ए) की नीली रेखा 2022 के वर्ष में करीब 51.5% पर पहुंचती है।,External Sector & FX Dynamics,Numerical Extraction
rbi_9.png,2 of 4,2010 से 2023 तक AEs के लिए सरकारी रेवेन्यू के हिस्से के तौर पर इंटरेस्ट पेमेंट के ट्रेंड के बारे में बताएं।,"2010 से 2023 तक, एडवांस्ड इकोनॉमीज़ के लिए सरकारी रेवेन्यू में इंटरेस्ट पेमेंट का हिस्सा लगातार कम हुआ है। यह 2019 से 2020 तक बढ़ा और फिर 2020 से 2021 तक कम हो गया।","चार्ट 1.9 (B) में लाल लाइन 2010 से 2023 तक कुल मिलाकर नीचे की ओर जाती हुई दिख रही है, जो समय के साथ छोटे-मोटे उतार-चढ़ाव दिखाती है।",External Sector & FX Dynamics,Trend Analysis
rbi_9.png,3 of 4,"2020 में नाममात्र उभरती बाजार अर्थव्यवस्थाओं यूएस डॉलर सूचकांक में अचानक क्या बदलाव आया, और इसका कुल सरकारी ऋण में विदेशी मुद्रा वाले ऋण के हिस्से पर क्या असर दिखता है?","2020 में यूएस डॉलर सूचकांक में तेज़ उछाल आया, लेकिन कुल सरकारी ऋण में विदेशी मुद्रा वाले ऋण का हिस्सा स्थिर रहा।","चार्ट 1.9 (ए) की लाल रेखा 2020 में अचानक बढ़ती है, जबकि नीली रेखा लगभग स्थिर रहती है। इससे पता चलता है कि सूचकांक के उछाल का सीधे प्रभाव उस वर्ष सरकारी ऋण के हिस्से पर नहीं पड़ा।",External Sector & FX Dynamics,Comparison
rbi_9.png,4 of 4,"किस ग्रुप के सरकारी रेवेन्यू का ज़्यादा हिस्सा लगातार इंटरेस्ट पेमेंट में जाता है, और इसका फॉरेन-करेंसी कर्ज़ के हिस्से से क्या संबंध है?","EMDEs में सरकारी रेवेन्यू का एक बड़ा हिस्सा लगातार इंटरेस्ट पेमेंट में जाता है, और उन पर कुल सरकारी कर्ज़ का लगभग आधा हिस्सा फॉरेन-करेंसी कर्ज़ भी होता है।","चार्ट (b) में, 2010 से 2023 तक हर साल EMDEs के लिए नीली लाइन AEs के लिए लाल लाइन से ऊपर है, जो ब्याज पेमेंट के लिए ज़्यादा रेवेन्यू शेयर दिखाती है। चार्ट (a) में, ""कुल सरकारी कर्ज़ के हिस्से के रूप में विदेशी मुद्रा में कर्ज़"" के लिए नीली लाइन 2019-2024 के दौरान लगभग 49-53 प्रतिशत पर बनी रहती है, जो बताता है कि EMDEs के सार्वजनिक कर्ज़ का एक बड़ा हिस्सा विदेशी मुद्रा में है।",External Sector & FX Dynamics,Cross-Chart Reasoning
rbi_10.png,1 of 4,2024 में जापान का इक्विटी बाजार प्रदर्शन अन्य बाज़ारों की तुलना में कैसा रहा?,जापान का प्रदर्शन सबसे अच्छा रहा।,"चार्ट (ए) में नीली लाइन (जापान) वर्ष भर में 150 से ऊपर जाती है, जो अन्य सभी सूचकांकों से अधिक है।",Equity Markets,Comparison
rbi_10.png,2 of 4,"किस सेगमेंट के लिए हिस्टोरिकल मल्टीपल पर वापस लौटने के लिए ज़रूरी कमाई की ग्रोथ (CAGR) सबसे ज़्यादा है, और वह रेट क्या है?","US-नैस्डैक में सबसे ज़्यादा ज़रूरी कमाई ग्रोथ है, जो हर साल लगभग 32 प्रतिशत है।","चार्ट (b) में, US-नैस्डैक के लिए गुलाबी बार सबसे लंबा है, जो लगभग 32 प्रतिशत तक पहुँच रहा है, जबकि बाकी सभी गुलाबी बार छोटे हैं।",Equity Markets,Extremum / Anomaly Detection
